Config,RAGTruth_AUROC,CI_low,CI_high,HaluEval_AUROC,Delta
Calibrated weights,0.7508,0.7475,0.7541,0.6626,0.0
Equal weights (1/6),0.73,0.7264,0.7334,0.6663,-0.0208
